,text,emotion
0,Pada hari-hari ketika saya merasa dekat dengan pasangan saya dan teman-teman lainnya. Ketika saya merasa damai dengan diri sendiri dan juga mengalami kontak dekat dengan orang-orang yang sangat saya hormati.,0
1,"Setiap kali saya membayangkan seseorang yang saya cintai atau saya bisa menghubungi penyakit yang serius, bahkan sampai mati.",1
2,Bila saya telah diperlakukan secara tidak adil dan tidak memiliki kemungkinan untuk menjelaskan hal ini.,2
3,Ketika saya memikirkan waktu singkat bahwa kita hidup dan menghubungkannya dengan periode kehidupan saya ketika saya berpikir bahwa saya tidak menggunakan waktu yang singkat ini.,3
4,Pada sebuah pertemuan saya mendapati diri saya secara tidak sengaja duduk di samping dua orang yang mengungkapkan pendapat yang saya anggap sangat rendah dan diskriminatif.,4
5,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
6,"Setelah pacarku mengambil ujian, kami pergi ke tempat asuhnya.",0
7,"Kapan, untuk pertama kalinya saya menyadari arti kematian.",1
8,Saat mobil menyalip yang lain dan saya terpaksa menyetir dari jalan.,2
9,"Ketika saya baru-baru memikirkan kerja keras yang dibutuhkan untuk belajar, dan bagaimana seseorang ingin mencoba yang lain. Ketika saya membaca buku teoretis dalam bahasa Inggris yang tidak saya mengerti.",3
10,Saat saya menemukan bulu di tabung pasta hati.,4
11,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
12,Ketika saya lulus ujian yang menurut saya tidak saya lakukan dengan baik.,0
13,"Bila seseorang telah mengatur untuk bertemu dengan seseorang dan orang tersebut terlambat datang, sementara itu orang mulai memikirkan semua hal yang salah seperti kecelakaan lalu lintas.",1
14,Bila seseorang secara tidak adil dituduh melakukan sesuatu yang tidak dilakukan seseorang.,2
15,Bila penelitian seseorang tampak sangat sulit dan tidak menarik.,3
16,"Bila seseorang mengetahui bahwa seseorang yang Anda kenal sama sekali tidak seperti yang dipikirkan seseorang, misalnya teman yang mencuri dan hal-hal seperti itu, sangat tidak beralasan.",4
17,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
18,Melewati ujian saya tidak berharap untuk lulus.,0
19,Saat aku memanjat pohon untuk mengambil apel. Sudut tangga yang saya jalani tidak memungkinkan saya untuk cukup tinggi. Ini menyiratkan bahwa tangga tidak begitu stabil.,1
20,Saat aku punya anak-anakku.,0
21,Ketika saya putra berusia 2 tahun naik dan duduk di balkon lantai 7 dengan kakinya nongkrong. Dia berpegangan erat ke pagar atas balkon tapi dia bisa dengan mudah kehilangan keseimbangan saat dia duduk.,1
22,Saat pasangan saya diserang dan kehilangan tiga gigi.,2
23,Ketika saya melihat anak-anak di T.V dari daerah yang hancur karena kekeringan dan perang.,3
24,Ketika saya hampir berjalan dengan cacing dan kemudian melihatnya merangkak pergi.,4
25,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
26,Saat anak saya lahir.,0
27,"Saat itu musim semi dan esnya mencair. Saya berada jauh di dermaga dan saya menusuk es dengan cabang panjang untuk mencoba dan memecahkannya. Cabang itu menembus es dan aku terjatuh, airnya tertutup di atas kepalaku.",1
28,"Tuduhan tidak adil ditujukan pada saya dan cara saya berakting, oleh seseorang yang dekat dengan saya.",2
29,Gagal melakukan pemeriksaan.,3
30,"Seorang pemabuk jatuh, mulai berdarah dan membasahi dirinya sendiri. Jijik itu berubah menjadi sedih-tidak enak.",4
31,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
32,Ketika saya melihat seseorang yang saya tidak melihat untuk waktu yang lama.,0
33,"Ketika, saat kecil, saya hampir terjatuh oleh sebuah mobil.",1
34,"Ketika saya mendengar di radio bahwa pertandingan sepak bola di Belgia telah berakhir dalam sebuah malapetaka, dan beberapa orang telah meninggal dunia. Saya tidak mengerti bagaimana orang normal bisa bersikap sedemikian rupa.",2
35,"Ketika saya merasa kesepian, mungkin karena saya harus banyak belajar dan saya tutup mulut di apartemen saya. Tidak ada yang terjadi secara khusus karena tidak ada waktu untuk hal lain.",3
36,"Ketika seseorang belajar melalui media massa, semua perang dan pembunuhan terjadi di dunia ini.",4
37,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
38,Ketika saya diterima untuk kursus keuangan dan akuntansi.,0
39,"Sebuah bus melaju melewati kaki kanan saya. Acara itu sendiri tidak begitu menakutkan tapi ketika saya harus menunggu di bangsal darurat selama tiga jam dan kemudian kaki saya mulai membengkak, saya merasa takut.",1
40,"Pada pekerjaan musim panas saya, tidak ada yang merawat saya secara khusus dan saya harus belajar semua sendiri.",2
41,Ketika saya tidak diterima sebagai mahasiswa di bidang keuangan dan akuntansi.,3
42,"Ketika saya baru saja pindah ke apartemen baru saya, saya menemukan sebuah ventilator di dapur. Saya akan membersihkannya saat menemukan bahwa drum itu penuh dengan lumpur dan lendir. Aku merasa jijik.",4
43,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
44,Lulus ujian dengan 2 poin.,0
45,"Di sebuah pondok di sebuah hutan besar, saya sendirian untuk sementara dalam kegelapan.",1
46,Stasiun kereta api selamat tinggal.,3
47,Saya melihat seorang cacat dalam kain dengan anak kecil di Italia. Dia mungkin penipu.,4
48,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
49,Saya lulus ujian bahwa saya benar-benar yakin bahwa saya telah gagal.,0
50,"Dalam perjalanan pulang dari Denmark dengan seorang teman di sebuah yatch kecil, ada badai dan temanku tertiup ke laut; Aku sangat takut sampai aku berhasil membawanya kembali ke kapal.",1
51,Aku mengunci diri.,2
52,Aku rindu rumah trem terakhir dan harus berjalan di tengah guyuran hujan.,3
53,Saya menemukan beberapa cacing dalam makanan dan saya telah jelas makan beberapa.,4
54,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
55,Ketika saya memenangkan perjalanan ke Yunani dalam sebuah kompetisi.,0
56,Ketika saya keluar dalam kegelapan dan karakter tampak mencurigakan datang ke arah saya.,1
57,"Di tempat kerja, ketika seorang pria tua mengeluh dengan tidak adil tentang saya dan tidak mempercayai saya.",2
58,Ketika saya tidak mengerti apapun setelah ceramah.,3
59,Saat seorang pecandu alkohol berdiri sambil menggiring bola ke meja makan.,4
60,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
61,Di pesta ulang tahun seorang teman dengan beberapa teman terdekat saya. Itu sangat menyenangkan dan orang bisa mengatakan bahwa saya senang memiliki teman baik seperti itu.,0
62,"Dalam perjalanan pulang pada suatu Jumat malam di tengah hujan deras, mobil tersebut membelok. Saya kehilangan kontak dengan permukaan jalan selama beberapa detik.",1
63,Gila pada ayahku,2
64,Kasus cinta tak berbalas.,3
65,Mentimun berbau busuk.,4
66,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
67,Saya merasa sangat senang saat memenangkan kolam sepak bola.,0
68,Ketika saya terbang dari Athena ke Kopenhagen setelah liburan. Pesawat itu tertangkap dalam badai dan mulai terguncang dan aku yakin kami akan jatuh.,1
69,Saat seseorang mencuri motor saya.,2
70,"Ketika saya melihat daftar buku untuk dibaca untuk kursus yang sesuai, saya berpikir ""Oh Tuhan, bagaimana saya bisa melakukan itu?""",3
71,Saat itulah saya membaca artikel surat kabar tentang masa depan dan mereka meramalkan bahwa kita akan makan burger katak pada tahun 2000. Sebuah ilustrasi menunjukkan seekor katak di antara dua potong roti.,4
72,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
73,Saat seluruh keluarga berkumpul untuk liburan satu minggu. Semua orang merasa bebas dan perjalanannya direncanakan dengan baik. Ini bekerja dengan baik dan kita menikmati diri kita sendiri.,0
74,"Ketika saya tidak dapat menemukan putriku berusia 2 tahun. Aku berlari dan mencarinya di mana-mana dan tidak dapat menemukannya. (Akhirnya aku menemukannya, dia sudah tidur).",1
75,Saat teman mencoba menjatuhkanku atau menyakitiku.,2
76,Krisis perkawinan Kebosanan.,3
77,Bila seseorang membuat uang muka yang tidak diinginkannya.,4
78,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
79,Saat saya lulus ujian pertama saya harus mengulanginya.,0
80,Ketika saya pergi ke Stockholm untuk pertama kalinya dan berkendara dari jalan Stora Hissingen di jalan keluar yang salah.,1
81,Ketika pacarku pergi berlibur sebulan penuh tanpa aku.,2
82,Tahun lalu ketika saya bekerja selama liburan musim panas dan belajar pada saat yang sama untuk pemeriksaan yang harus saya ulangi; Pacar saya pergi ke Yunani untuk berlibur selama sebulan.,3
83,Saat anjing dibiarkan merengek di luar toko.,4
84,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
85,Pada hari saya diberitahu bahwa saya telah diterima sebagai mahasiswa ekonomi.,0
